,comment_sentence,partition,category
147,cancel,0,Example
148,v shape es,0,Example
149,text measurement strategies,0,Example
150,example brexamplesshowroom #materialreversedtoggle,0,Example
151,toggles,0,Example
152,ds points rtshape withallsubclasses.,0,Example
153,fca malformalcontext new.,0,Example
154,"example f x,y x^2 y",0,Example
155,lineshape attachpoint rtshorterdistanceattachpoint instance .,0,Example
156,user supplied data is placed in the data model.,0,Example
157,list # roger pete,0,Example
158,prexportbuilder new,0,Example
159,10 factorial,0,Example
160,blpolygon vertices,0,Example
161,methodsnames #rtmethods,0,Example
162,this is achieved by means of pragmas,0,Example
163,self answer contact,0,Example
164,"also for the path, the complete path from the project directory.",0,Example
165,"you can do the last one in two ways, either by specifying a block via #cdf or by specifying a distribution with concrete parameters via #populationdistribution .",0,Example
166,b d,0,Example
167,", cn .",0,Example
168,malformalcontext mammals2 computeconcepts,0,Example
169,a .,0,Example
170,.,0,Example
171,highlightobjects #subclasses.,0,Example
172,v addall elements.,0,Example
173,"next, we build the editor",0,Example
174,b v,0,Example
175,labelblock item item 1 iftrue first iffalse item asuppercase .,0,Example
176,150@40.,0,Example
177,"use it, if you don t want to define all the grammar rules and you want to skip something.",0,Example
178,c vertical fitcontent .,0,Example
179,metamodel afmmetamodel the meta model describing my entities.,0,Example
180,^b view,0,Example
181,when you type on the command line,0,Example
182,classes collection withallsubclasses reversesortedas #numberofmethods first 10.,0,Example
183,"for example, if you have yourentity that subclasses mooseentity, you can extend it with",0,Example
184,example,0,Example
185,blur canvas gaussianblurfilter,0,Example
186,edges add rtdecoratedline new filleddiamondhead emptycircletail color color red width 2 attachpoint rtrectangleattachpoint new offset 15 edgefrom b1 to b2 .,0,Example
187,"and add circles one by one, starting with a larger one.",0,Example
188,brtextbackgroundattribute paint color yellow,0,Example
189,e2 translateby 30 @ 60.,0,Example
190,close,0,Example
191,users can also customise nose angle that tells how wide should the arrow lines be spread.,0,Example
192,fill previously created path fith linear gradient,0,Example
193,terms addstring string using camelcasescanner new.,0,Example
194,b,0,Example
195,to initialize the subjects of an example i call #gtexamplesubjects on the provider object.,0,Example
196,example gtgraphcircleenclosureexamples #enclosurewithtwocircles previewshow #gtpreviewfor previewexpanded previewheight 300,0,Example
197,b edges movebehind connectfrom #superclass.,0,Example
198,g,0,Example
199,b strategy rtsunburstextentstrategy new extent 800@800 .,0,Example
200,s rtarrowedline new color color black.,0,Example
201,rendercontenton acanvas,0,Example
202,self openon moosemodel root allmodels last allmodelclasses,0,Example
203,b rtumlclassbuilder new,0,Example
204,will return a mooseincomingqueryresult containing the famixassociation having afamixclass as target,0,Example
205,v,0,Example
206,margin blinsets all 3,0,Example
207,example gtgraphcircleenclosureexamples #emptyenclosure previewshow #gtpreviewfor previewheight 300,0,Example
208,language smalltalk,0,Example
209,initialize,0,Example
210,b lineshape color color black.,0,Example
