,comment_sentence,partition,category
288,@author jesse wilson,0,Ownership
289,@author george van den driessche,0,Ownership
290,@author jcamelon,0,Ownership
291,@author sameb@google^com sam berlin,0,Ownership
292,@author luke sandberg,0,Ownership
293,@author jige yu,0,Ownership
294,@author chris nokleberg,0,Ownership
295,@author doug schaefer,0,Ownership
296,@author kevin bourrillion,0,Ownership
297,@author jjohnstn,0,Ownership
298,@author dimitris andreou,0,Ownership
299,@author mick killianey,0,Ownership
300,"@author crazybob@google^com bob lee an enum cannot be implemented by anything, so it should not be possible to have a successful valid jitable binding",0,Ownership
301,@author colin decker,0,Ownership
302,@author emily soldal,0,Ownership
303,@author hayward chan,0,Ownership
304,@author robert konigsberg,0,Ownership
305,@author mike kucera,0,Ownership
306,@author marc dumais,0,Ownership
307,@author charles fry,0,Ownership
308,@author ben yu,0,Ownership
309,@author crazybob@google^com bob lee,0,Ownership
310,@author louis wasserman,0,Ownership
311,@author vaadin ltd,0,Ownership
312,@author vaadin ltd.,0,Ownership
313,@author chris povirk,0,Ownership
314,@author kevinb@google^com kevin bourrillion,0,Ownership
315,@author jessewilson@google^com jesse wilson,0,Ownership
